Data,Feriado
2025-04-18 00:00:00,paixao de cristo
2025-04-21 00:00:00,tiradentes
2025-05-01 00:00:00,dia do trabalho
2025-06-19 00:00:00,corpus christi
2025-09-07 00:00:00,independencia do brasil
2025-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2025-11-02 00:00:00,finados
2025-11-15 00:00:00,proclamacao da republica
2025-12-25 00:00:00,natal
2026-01-01 00:00:00,confraternizacao universal
2026-02-16 00:00:00,carnaval
2026-02-17 00:00:00,carnaval
2026-04-03 00:00:00,paixao de cristo
2026-04-21 00:00:00,tiradentes
2026-05-01 00:00:00,dia do trabalho
2026-06-04 00:00:00,corpus christi
2026-09-07 00:00:00,independencia do brasil
2026-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2026-11-02 00:00:00,finados
2026-11-15 00:00:00,proclamacao da republica
2026-12-25 00:00:00,natal
2027-01-01 00:00:00,confraternizacao universal
2027-02-08 00:00:00,carnaval
2027-02-09 00:00:00,carnaval
2027-03-26 00:00:00,paixao de cristo
2027-04-21 00:00:00,tiradentes
2027-05-01 00:00:00,dia do trabalho
2027-05-27 00:00:00,corpus christi
2027-09-07 00:00:00,independencia do brasil
2027-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2027-11-02 00:00:00,finados
2027-11-15 00:00:00,proclamacao da republica
2027-12-25 00:00:00,natal
2028-01-01 00:00:00,confraternizacao universal
2028-02-28 00:00:00,carnaval
2028-02-29 00:00:00,carnaval
2028-04-14 00:00:00,paixao de cristo
2028-04-21 00:00:00,tiradentes
2028-05-01 00:00:00,dia do trabalho
2028-06-15 00:00:00,corpus christi
2028-09-07 00:00:00,independencia do brasil
2028-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2028-11-02 00:00:00,finados
2028-11-15 00:00:00,proclamacao da republica
2028-12-25 00:00:00,natal
2029-01-01 00:00:00,confraternizacao universal
2029-02-12 00:00:00,carnaval
2029-02-13 00:00:00,carnaval
2029-03-30 00:00:00,paixao de cristo
2029-04-21 00:00:00,tiradentes
2029-05-01 00:00:00,dia do trabalho
2029-05-31 00:00:00,corpus christi
2029-09-07 00:00:00,independencia do brasil
2029-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2029-11-02 00:00:00,finados
2029-11-15 00:00:00,proclamacao da republica
2029-12-25 00:00:00,natal
2030-01-01 00:00:00,confraternizacao universal
2030-03-04 00:00:00,carnaval
2030-03-05 00:00:00,carnaval
2030-04-19 00:00:00,paixao de cristo
2030-04-21 00:00:00,tiradentes
2030-05-01 00:00:00,dia do trabalho
2030-06-20 00:00:00,corpus christi
2030-09-07 00:00:00,independencia do brasil
2030-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2030-11-02 00:00:00,finados
2030-11-15 00:00:00,proclamacao da republica
2030-12-25 00:00:00,natal
2031-01-01 00:00:00,confraternizacao universal
2031-02-24 00:00:00,carnaval
2031-02-25 00:00:00,carnaval
2031-04-11 00:00:00,paixao de cristo
2031-04-21 00:00:00,tiradentes
2031-05-01 00:00:00,dia do trabalho
2031-06-12 00:00:00,corpus christi
2031-09-07 00:00:00,independencia do brasil
2031-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2031-11-02 00:00:00,finados
2031-11-15 00:00:00,proclamacao da republica
2031-12-25 00:00:00,natal
2032-01-01 00:00:00,confraternizacao universal
2032-02-09 00:00:00,carnaval
2032-02-10 00:00:00,carnaval
2032-03-26 00:00:00,paixao de cristo
2032-04-21 00:00:00,tiradentes
2032-05-01 00:00:00,dia do trabalho
2032-05-27 00:00:00,corpus christi
2032-09-07 00:00:00,independencia do brasil
2032-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2032-11-02 00:00:00,finados
2032-11-15 00:00:00,proclamacao da republica
2032-12-25 00:00:00,natal
2033-01-01 00:00:00,confraternizacao universal
2033-02-28 00:00:00,carnaval
2033-03-01 00:00:00,carnaval
2033-04-15 00:00:00,paixao de cristo
2033-04-21 00:00:00,tiradentes
2033-05-01 00:00:00,dia do trabalho
2033-06-16 00:00:00,corpus christi
2033-09-07 00:00:00,independencia do brasil
2033-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2033-11-02 00:00:00,finados
2033-11-15 00:00:00,proclamacao da republica
2033-12-25 00:00:00,natal
2034-01-01 00:00:00,confraternizacao universal
2034-02-20 00:00:00,carnaval
2034-02-21 00:00:00,carnaval
2034-04-07 00:00:00,paixao de cristo
2034-04-21 00:00:00,tiradentes
2034-05-01 00:00:00,dia do trabalho
2034-06-08 00:00:00,corpus christi
2034-09-07 00:00:00,independencia do brasil
2034-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2034-11-02 00:00:00,finados
2034-11-15 00:00:00,proclamacao da republica
2034-12-25 00:00:00,natal
2035-01-01 00:00:00,confraternizacao universal
2035-02-05 00:00:00,carnaval
2035-02-06 00:00:00,carnaval
2035-03-23 00:00:00,paixao de cristo
2035-04-21 00:00:00,tiradentes
2035-05-01 00:00:00,dia do trabalho
2035-05-24 00:00:00,corpus christi
2035-09-07 00:00:00,independencia do brasil
2035-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2035-11-02 00:00:00,finados
2035-11-15 00:00:00,proclamacao da republica
2035-12-25 00:00:00,natal
2036-01-01 00:00:00,confraternizacao universal
2036-02-25 00:00:00,carnaval
2036-02-26 00:00:00,carnaval
2036-04-11 00:00:00,paixao de cristo
2036-04-21 00:00:00,tiradentes
2036-05-01 00:00:00,dia do trabalho
2036-06-12 00:00:00,corpus christi
2036-09-07 00:00:00,independencia do brasil
2036-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2036-11-02 00:00:00,finados
2036-11-15 00:00:00,proclamacao da republica
2036-12-25 00:00:00,natal
2037-01-01 00:00:00,confraternizacao universal
2037-02-16 00:00:00,carnaval
2037-02-17 00:00:00,carnaval
2037-04-03 00:00:00,paixao de cristo
2037-04-21 00:00:00,tiradentes
2037-05-01 00:00:00,dia do trabalho
2037-06-04 00:00:00,corpus christi
2037-09-07 00:00:00,independencia do brasil
2037-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2037-11-02 00:00:00,finados
2037-11-15 00:00:00,proclamacao da republica
2037-12-25 00:00:00,natal
2038-01-01 00:00:00,confraternizacao universal
2038-03-08 00:00:00,carnaval
2038-03-09 00:00:00,carnaval
2038-04-21 00:00:00,tiradentes
2038-04-23 00:00:00,paixao de cristo
2038-05-01 00:00:00,dia do trabalho
2038-06-24 00:00:00,corpus christi
2038-09-07 00:00:00,independencia do brasil
